ticker,grade,name,value,growth,momntm,VGM,rating,price,dividend amt,dividend pcnt
MX,MagnaChip Semiconductor Corporation (MX),D+ Sell,F,D,B,F,1-SB,$8.75,$0.00,0.00%
NOA,North American Energy Partners Inc. (NOA),C- Hold,A,C,C,B,3-Hold,$5.65,$0.06,1.06%
LNN,Lindsay Corporation (LNN),C Hold,F,A,A,B,5-SS,$75.84,$1.16,1.53%
AAP,Advance Auto Parts Inc (AAP),B+ Buy,B,C,B,C,2-Buy,$162.75,$0.24,0.15%
M,Macy's Inc (M),C Hold,A,F,F,D,3-Hold,$32.69,$1.51,4.62%
AGX,Argan Inc. (AGX),A+ Buy,A,A,B,A,3-Hold,$72.90,$0.70,0.96%
WF,Woori Bank (WF),C Hold,A,C,F,B,5-SS,$35.53,$0.00,0.00%
BHLB,Berkshire Hills Bancorp Inc. (BHLB),B+ Buy,C,D,A,C,4-Sell,$35.90,$0.80,2.23%
BBT,BB&T Corporation (BBT),B+ Buy,D,D,F,F,2-Buy,$46.61,$1.20,2.57%
ZTS,Zoetis Inc. (ZTS),B+ Buy,D,C,D,D,4-Sell,$55.92,$0.42,0.75%
BSBR,Banco Santander Brasil SA (BSBR),B- Buy,D,F,C,F,2-Buy,$10.34,$0.31,2.95%
NRP,Natural Resource Partners LP (NRP),C Hold,A,F,C,C,3-Hold,$37.00,$1.80,4.86%
TSM,Taiwan Semiconductor Manufacturing Company Ltd. (TSM),A Buy,B,B,A,A,3-Hold,$30.97,$0.75,2.43%
CACI,CACI International Inc. (CACI),A- Buy,A,B,D,A,2-Buy,$130.20,$0.00,0.00%
BCC,Boise Cascade L.L.C. (BCC),C Hold,A,A,C,A,5-SS,$25.75,$0.00,0.00%
KCG,KCG Holdings Inc. (KCG),B- Buy,A,A,F,A,3-Hold,$14.28,$0.00,0.00%
NGS,Natural Gas Services Group Inc. (NGS),C Hold,C,D,D,D,3-Hold,$29.15,$0.00,0.00%
LXU,Lsb Industries Inc. (LXU),D Sell,F,F,F,F,3-Hold,$8.91,$0.00,0.00%
TWTR,Twitter Inc. (TWTR),C- Hold,F,A,D,C,3-Hold,$17.61,$0.00,0.00%
MAN,ManpowerGroup (MAN),A- Buy,A,B,D,A,2-Buy,$98.69,$1.72,1.74%
PPL,PPL Corporation (PPL),A- Buy,C,D,F,D,3-Hold,$35.46,$1.52,4.29%
OMI,Owens & Minor Inc. (OMI),B+ Buy,A,D,B,B,3-Hold,$36.00,$1.02,2.83%
CMA,Comerica Incorporated (CMA),B Buy,D,D,F,D,2-Buy,$68.49,$0.92,1.34%
WPZ,Williams Partners LP (WPZ),C Hold,C,A,A,A,3-Hold,$40.37,$3.40,8.42%
MITT,AG Mortgage Investment Trust Inc. (MITT),C Hold,B,F,C,D,4-Sell,$17.48,$1.90,10.87%
LYB,LyondellBasell Industries NV (LYB),B Buy,A,B,C,A,2-Buy,$94.69,$3.40,3.59%
